country,totalWealth,meanWealth,population_country,gdp_country,nBillionaires
France,499500.0,14271.42857142857,67059887,2715518274227,35
United States of America,4575100.0,6067.771883289125,328239523,21427700000000,754
Mexico,165700.0,12746.153846153846,126014024,1258286717125,13
India,628700.0,4004.458598726115,1366417754,2611000000000,157
Spain,133700.0,5348.0,47076781,1394116310769,25
China,1805500.0,3452.1988527724666,1397715000,19910000000000,523
Canada,173900.0,4140.476190476191,36991981,1736425629520,42
Germany,462100.0,4530.392156862745,83132799,3845630030824,102
Switzerland,409900.0,5255.128205128205,8574832,703082435360,78
Belgium,41200.0,13733.333333333334,11484055,529606710418,3
Hong Kong,321500.0,4727.941176470588,0,0,68
Austria,75400.0,6854.545454545455,8877067,446314739528,11
Japan,146800.0,3863.157894736842,126226568,5081769542380,38
U.K. of Great Britain and Northern Ireland,370700.0,4520.731707317073,66834405,2827113184696,82
Australia,173500.0,4034.8837209302324,25766605,1392680589329,43
Indonesia,123900.0,4956.0,270203917,1119190780753,25
United Arab Emirates,99400.0,5847.058823529412,9770529,421142267938,17
Russian Federation,351000.0,4443.037974683544,144373535,1699876578871,79
Chile,36400.0,6066.666666666667,18952038,282318159745,6
Monaco,68000.0,4000.0,38964,7184844193,17
Czech Republic,42800.0,6114.285714285715,10669709,246489245495,7
Sweden,90900.0,3496.153846153846,10285453,530832908738,26
Thailand,100700.0,3596.4285714285716,69625582,543649976166,28
Uzbekistan,14400.0,14400.0,33580650,57921286440,1
Singapore,138000.0,3000.0,5703569,372062527489,46
Nigeria,28500.0,9500.0,200963599,448120428859,3
Israel,72500.0,2788.4615384615386,9053300,395098666122,26
Italy,156900.0,2852.7272727272725,60297396,2001244392042,55
South Africa,25600.0,5120.0,58558270,351431649241,5
Brazil,104800.0,2381.818181818182,212559417,1839758040766,44
Malaysia,33100.0,3009.090909090909,32447385,364701517788,11
South Korea,81400.0,2806.896551724138,51709098,2029000000000,29
New Zealand,10100.0,5050.0,4841000,206928765544,2
Philippines,41400.0,2957.1428571428573,108116615,376795508680,14
Taiwan,117900.0,2741.860465116279,0,0,43
Norway,27100.0,3011.1111111111113,5347896,403336363636,9
Egypt,13500.0,3375.0,100388073,303175127598,4
Denmark,40900.0,5842.857142857143,5818553,348078018464,7
Eswatini (Swaziland),6500.0,6500.0,0,0,1
Colombia,6400.0,6400.0,50339443,323802808108,1
Netherlands,24700.0,2470.0,17332850,909070395161,10
Poland,18300.0,3660.0,37970874,592164400688,5
Bahamas,8200.0,4100.0,0,0,2
Ukraine,12600.0,2100.0,44385155,153781069118,6
Cayman Islands,10900.0,3633.3333333333335,0,0,3
Greece,9100.0,3033.3333333333335,10716322,209852761469,3
Turkey,55700.0,2228.0,83429615,754411708203,25
Argentina,11000.0,2750.0,44938712,449663446954,4
Georgia,4900.0,4900.0,3720382,17743195770,1
Portugal,4700.0,4700.0,10269417,237686075635,1
Kazakhstan,26300.0,3757.1428571428573,18513930,180161741180,7
Algeria,4600.0,4600.0,43053054,169988236398,1
Vietnam,12600.0,2100.0,96462106,261921244843,6
Latvia,4200.0,4200.0,1912789,34117202555,1
Finland,14000.0,2000.0,5520314,268761201365,7
Bermuda,4600.0,2300.0,0,0,2
Luxembourg,3500.0,3500.0,645397,71104919108,1
British Virgin Islands,3400.0,3400.0,0,0,1
Cambodia,2800.0,2800.0,16486542,27089389787,1
Lebanon,5600.0,2800.0,6855713,53367042272,2
Oman,2700.0,2700.0,5266535,76983094928,1
Ireland,9600.0,2400.0,0,0,4
Cyprus,9600.0,1920.0,1198575,24564647935,5
Guernsey,2300.0,2300.0,0,0,1
Liechtenstein,2300.0,2300.0,38019,6552858739,1
Turks and Caicos Islands,2000.0,2000.0,0,0,1
Romania,4800.0,1600.0,19356544,250077444017,3
Qatar,3000.0,1500.0,2832067,183466208791,2
Uruguay,1800.0,1800.0,3461734,56045912952,1
Nepal,1800.0,1800.0,28608710,30641380604,1
Slovakia,3100.0,1550.0,5454073,105422304976,2
Morocco,2800.0,1400.0,36910560,118725279596,2
Hungary,3900.0,1300.0,9769949,160967157504,3
Tanzania,1500.0,1500.0,58005463,63177068175,1
Bahrain,1500.0,1500.0,1501635,38574069149,1
Peru,2500.0,1250.0,32510453,226848050820,2
Andorra,1500.0,1500.0,77142,3154057987,1
Armenia,1200.0,1200.0,2957731,13672802158,1
